Sub Category,Elasticity,R2,N,Elasticity Type
Touring Bikes,-0.42125389430895255,0.4223461386900055,1313,Inelastic (<1)
Mountain Bikes,-0.39138416862116343,0.387726551064314,2700,Inelastic (<1)
Road Bikes,-0.38230108800519425,0.37455523889771414,2982,Inelastic (<1)
Bike Stands,-0.32706660504196905,0.33105853192209356,145,Inelastic (<1)
Fenders,-0.24689947281237185,0.2787362182370128,752,Inelastic (<1)
Cleaners,-0.24210499199424695,0.2592213906641806,538,Inelastic (<1)
Hydration Packs,-0.2349738888877666,0.25748742099889566,391,Inelastic (<1)
Caps,-0.23321848098743975,0.2362054562295025,1495,Inelastic (<1)
Socks,-0.2228931870772483,0.2236156797459199,362,Inelastic (<1)
Vests,-0.2202178864002455,0.2198568634089373,308,Inelastic (<1)
Helmets,-0.21411257760359273,0.2090010591241429,4144,Inelastic (<1)
Shorts,-0.21306302609155164,0.2042509183518909,560,Inelastic (<1)
Bike Racks,-0.20768415719689143,0.24751140576628272,101,Inelastic (<1)
Gloves,-0.20235062582613483,0.184738937929675,472,Inelastic (<1)
Bottles and Cages,-0.19905338908133643,0.2003497412681141,5250,Inelastic (<1)
Jerseys,-0.19688181386445092,0.1957236382290205,1981,Inelastic (<1)
Tires and Tubes,-0.10072821404481981,0.09793238765823087,11013,Inelastic (<1)
